	name	rush	fix
118	Simon & Garfunkel	0.991166314383	1.70321529898
119	Dusty Springfield	0.98883325915	1.69982178429
120	Ramses Shaffy	0.986582521872	1.7985691617
121	Moko	0.983437099081	2.10640273164
122	Bryan Ferry	0.989933888527	1.73863002393
123	The Mars Volta	0.996011843157	1.70100574591
124	Anal Cunt	0.983677925233	1.84508320273
125	Impaled	0.990733691595	1.98704258627
126	Liquid Liquid	0.990288793463	1.73857244809
127	Sowelu	0.989799171934	1.75597998319
128	Basement Jaxx	0.991724005235	1.70579945415
129	石田燿子	0.98168133265	1.79246939197
130	Ai	0.99108851194	1.72549964808
131	Antipop Consortium	0.991861973065	1.69699693889
132	Bloodhound Gang	0.990146378391	1.75708651859
133	梶浦由記	0.994176466867	1.77633198672
134	Mogwai	0.997049604134	1.62561269735
135	茅原実里	0.990931389933	1.80906356795
136	奥井雅美	0.9841959067	1.86164816536
137	Crystal Kay	0.99175901237	1.77848573763
138	有坂美香	0.995885057785	1.00024546753
139	Avulsed	0.995857602187	1.75076795745
140	Talking Heads	0.994348348185	1.68297647814
141	Kaizers Orchestra	0.994037503985	1.77228654795
142	Nokturnal Mortum	0.996093929586	1.76071376018
143	Air	0.994611621465	1.70657906292
144	Marduk	0.996680489346	1.68002411193
145	Annie	0.991474991061	1.72136140984
146	Linear Movement	0.985037687373	1.91282574996
147	Black Dice	0.994727999441	1.70011370368
148	Ella Fitzgerald	0.993558721718	1.64710059384
149	Monza	0.959821514107	2.3170345441
150	The Magnetic Fields	0.992669422339	1.76134849352
151	Gustav Holst	0.994374755534	1.53633489669
152	Pixies	0.994803948903	1.63427377779
153	Janitor Joe	0.987269786192	1.83000578351
154	Vektroid	0.985682032499	1.91564169648
155	John Frusciante	0.99754040573	1.60844942586
156	Doves	0.992802548104	1.64015849705
157	Nick Drake	0.994977308603	1.65253902131
158	Birdflesh	0.984640858347	1.90643446538
159	The Kills	0.99517097238	1.67124103714
160	Out Hud	0.991655899683	1.68653272553
161	The Concretes	0.982318045399	1.78645625036
162	Hammers of Misfortune	0.996436710859	1.52527302582
163	Turmion Kätilöt	0.994335060507	1.78864769179
164	Porcupine Tree	0.997959552543	1.61010677207
165	Move	0.987548838365	1.79214970577
166	globe	0.994158757385	1.71658475758
167	Smap	0.985969791769	1.93152898542
168	玉置成実	0.993517841195	1.71304289256
169	コタニキンヤ	0.992198088538	1.62119011147
170	Chaostar	0.985637727565	1.97903433264
171	三枝夕夏 IN db	0.990461801398	1.67283012578
172	Zen Café	0.99007966445	1.87082705006
173	Rinneradio	0.983038638271	1.8987314722
174	Katatonia	0.997388605018	1.6548754332
175	Icon of Coil	0.985262418895	1.9501564399
176	Maj Karma	0.984251766393	1.90890611063
177	Modest Mouse	0.995050552654	1.67871217647
178	Kate Ryan	0.987223931096	1.77166022161
179	2 Fabiola	0.976047525725	1.81141341843
180	Krokodil	0.987362244457	2.01757569044
181	Duran Duran	0.988014033278	1.88539894975
182	Dee Dee	0.981861543278	1.61004572714
183	DJ Quicksilver	0.970102859402	1.73571157379
184	Bomfunk MC's	0.988209309159	1.72044408121
185	System F	0.98793713355	1.60712846874
186	2 Brothers on the 4th Floor	0.9852513514	1.68918202852
187	DJ Shog	0.982087291665	1.67523316673
188	DHT	0.979887812424	1.72139615996
189	Plastic Boy	0.979056700314	1.70259297417
190	Ministry	0.993664102149	1.81357360944
191	Special D.	0.973040534085	1.77549908543
192	Cygnus X	0.983971082642	1.5915157611
193	DJ Sammy	0.982715307768	1.64842277882
194	Palms	0.994899449965	1.65826599155
195	Push	0.983978999195	1.74293767387
196	Daft Punk	0.994968175752	1.70307517316
197	Mars	0.988876932437	1.67614972857
198	Lizzy Mercier Descloux	0.993262467436	1.72289948626
199	Alireza Assar	0.989655826055	1.84934385227
200	Blank & Jones	0.985766429568	1.86161277328
201	Suicide	0.990025582992	1.77823377931
202	Rosa Yemen	0.981463616507	1.77170428036
203	James Chance & The Contortions	0.994143717747	1.65102536881
204	HOME MADE 家族	0.986577459097	1.76182792598
205	High And Mighty Color	0.99181211108	1.83271169949
206	Aki Misato	0.984652173858	1.66317094139
207	MartyParty	0.984479865297	2.301453537
208	KOTOKO	0.991951394564	1.79641366642
209	The Innocence Mission	0.987225068366	1.87471660711
210	John Frusciante and Josh Klinghoffer	0.995111256626	1.38531042479
211	Chicane	0.988238176255	1.84413987757
212	AC/DC	0.994613575732	1.74974976258
213	Deniece Williams	0.97583856197	1.87247646201
214	Bryan Adams	0.991129874683	1.69950294931
215	The Burned	0.957069691182	2.48301243461
216	Antiloop	0.9775877699	1.94508190805
217	Pelican	0.995926291699	1.66971478063
218	Hewhocorrupts	0.984888715397	1.94701390104
219	Skunk Anansie	0.991540408561	1.77131652476
220	Spider Murphy Gang	0.972723739572	1.7705568945
221	HIM	0.995259417233	1.74188830684
222	Fey	0.996438908926	1.6090390015
223	Radium	0.988383040082	1.8615641267
224	The Cure	0.995254851795	1.68659085619
225	The Speed Freak	0.995209013917	1.62378740704
226	Suricato	0.98971597033	2.38145200403
227	Solitude Aeturnus	0.995301880762	1.81280953049
228	The Dead Rabbitts	0.990114674991	1.8950274925
229	Indigo Tree	0.995846086443	1.73885256841
230	W	0.989823993062	1.84031743654
231	関智一	0.986406210907	1.74119419423
232	Nest	0.994995137376	1.7974648958
233	Wilco	0.995290716252	1.68230475374
234	Venetian Snares	0.992957885916	1.79888319103
235	The Postal Service	0.993750783747	1.61093166106
236	The Rapture	0.992155068493	1.64441122237
237	The Clean	0.983025461515	2.00608287235
238	Turtles	0.978536631914	1.72242051481
239	Beulah	0.990818140749	1.61193218728
240	Built to Spill	0.995409674998	1.65165704254
241	Spoon	0.991354311503	1.65401452732
242	Autechre	0.997289464601	1.63167869891
243	Mark Lanegan	0.995881595984	1.64164779048
244	Death From Above 1979	0.993053132048	1.65326938278
245	Handsome Boy Modeling School	0.985668139038	1.85754680199
246	All-Time Quarterback	0.99342443358	1.59694104125
247	Korpiklaani	0.993898858312	1.80173207075
248	Serge Gainsbourg	0.991225180586	1.81663904903
249	Fennesz	0.995904877501	1.69647633902
250	Unbelievable Truth	0.982679490833	1.85007432895
251	Fabio Góes	0.992142037458	1.70640023261
252	Do Make Say Think	0.993161123461	1.81626810784
253	Alter Ego	0.981757867648	1.71315170177
254	Vitalic	0.99117799052	1.73753734462
255	LFO	0.986646887492	1.72378533313
256	The Go! Team	0.989843396275	1.72935480016
257	Plus-Tech Squeeze Box	0.986055308252	1.75152717776
258	Kids & Explosions	0.986443855455	2.05308345965
259	The Black Dog	0.994193333238	1.69663163137
