topic	TopUser_0	Pzu_0	TopUser_1	Pzu_1	TopUser_2	Pzu_2	TopUser_3	Pzu_3	TopUser_4	Pzu_4	TopUser_5	Pzu_5	TopUser_6	Pzu_6	TopUser_7	Pzu_7	TopUser_8	Pzu_8	TopUser_9	Pzu_9	TopObj_0	Poz_0	TopObj_1	Poz_1	TopObj_2	Poz_2	TopObj_3	Poz_3	TopObj_4	Poz_4	TopObj_5	Poz_5	TopObj_6	Poz_6	TopObj_7	Poz_7	TopObj_8	Poz_8	TopObj_9	Poz_9	AgeUser_0	Country_0	AgeUser_1	Country_1	AgeUser_2	Country_2	AgeUser_3	Country_3	AgeUser_4	Country_4	AgeUser_5	Country_5	AgeUser_6	Country_6	AgeUser_7	Country_7	AgeUser_8	Country_8	AgeUser_9	Country_9
11	8070	0.973598120509	274	0.95332732339	13105	0.953230769231	8400	0.950376569038	4064	0.932975420981	10729	0.923949626866	7616	0.911875698497	8081	0.91114921901	4455	0.896673873874	5441	0.894085227273	Glee Cast	0.316846004355	Rihanna	0.0369992013201	Lady Gaga	0.0358826009974	Taylor Swift	0.0320233190139	Katy Perry	0.0308811188114	Britney Spears	0.0264572987405	Adele	0.0247773729316	Beyoncé	0.0199102738003	Demi Lovato	0.0138780410251	Ke$ha	0.0128345012057	25	BR	26	US	20	FI	18	BR	0	PL	18	BR	0	BR	21	AR	25	FI	16	DE
12	7861	0.955567116639	1483	0.929436906263	5601	0.92863255814	13620	0.909030385488	12094	0.908841432225	12027	0.90335753176	1819	0.898510613437	896	0.868270018292	10156	0.862062385321	6547	0.850362289386	Mariah Carey	0.128241797634	Britney Spears	0.102880241155	Christina Aguilera	0.0500261650769	Madonna	0.043072283742	Beyoncé	0.0344403618411	Rihanna	0.0337302357373	Lady Gaga	0.0247623940741	Janet Jackson	0.022325521726	Jennifer Lopez	0.0181219506323	Michael Jackson	0.016933982648	17	BR	0	US	20	BR	19	US	17	BR	20	US	30	US	20	US	21	BR	20	US
13	3780	0.973504557641	7308	0.965902912621	3425	0.936606557377	2103	0.929762627657	5223	0.927564413634	6075	0.925869203329	5417	0.902796519787	7180	0.901714836224	4167	0.894137067938	2222	0.887506196378	All Time Low	0.043299822762	Paramore	0.0429998943306	Taylor Swift	0.0401682884062	My Chemical Romance	0.0330819934795	McFly	0.0317076305719	Panic! at the Disco	0.0247191334628	Fall Out Boy	0.0240020383435	The Maine	0.0201401298663	Simple Plan	0.0182386377303	Green Day	0.0173808237088	20	US	18	BR	24	PL	21	UK	18	BR	0	BR	18	PL	17	UK	21	BR	22	US
14	2405	0.995160134378	6267	0.992705515088	10484	0.992314485864	224	0.989212774451	2429	0.987319789021	8521	0.986641941642	1872	0.986482410423	5489	0.985757839721	2271	0.985115513563	2052	0.984092577376	Iron Maiden	0.0429040646105	Metallica	0.0390715380413	Megadeth	0.0232185362622	AC/DC	0.0197072912645	Porcupine Tree	0.0189750647653	Black Sabbath	0.0180525065937	System of a Down	0.0166667756936	Dream Theater	0.0163854176925	Judas Priest	0.014502926678	Opeth	0.0140257855053	0	FI	19	PL	16	UK	24	UK	23	US	36	FR	0	FI	20	GS	32	UK	37	DE
15	10485	0.970451375106	8387	0.94607246022	10376	0.920033962264	11304	0.9198252149	9831	0.916794334813	13608	0.907198137369	3859	0.903116212339	8022	0.893634146341	11113	0.887443225313	9311	0.887198165138	Rihanna	0.200627858722	Lady Gaga	0.0737870077628	Katy Perry	0.0685593550842	Beyoncé	0.0594524950944	Christina Aguilera	0.0488605635591	Nicki Minaj	0.0418089764654	Jessie J	0.0303504076669	Adele	0.0257944010347	Ke$ha	0.0242328993849	Britney Spears	0.0218737807692	15	BR	20	BR	18	BR	20	BR	20	BR	17	BR	21	BR	17	BR	21	BR	18	BR
16	8493	0.966668918919	3926	0.93611183355	7578	0.925457249071	1118	0.919005484988	1027	0.917785357737	3023	0.911221952832	34	0.887057803468	1336	0.874113612004	1791	0.859836781609	3147	0.847648281375	Coldplay	0.0539152718678	John Mayer	0.0330703266085	The Fray	0.0187485271298	Snow Patrol	0.0167224907398	Jason Mraz	0.0148103363903	Death Cab for Cutie	0.0147315559055	Taylor Swift	0.0143520683586	Imogen Heap	0.0139453005664	Keane	0.0137251462066	Adele	0.0136553058505	19	BR	23	US	19	PH	26	PL	27	BE	21	US	28	NL	21	PL	0	SG	19	US
17	3192	0.998535437877	3135	0.989641369048	7058	0.93607606264	10690	0.842302537099	4276	0.799470437018	12024	0.797561452514	6912	0.789402700556	10269	0.784292035398	9709	0.769341880342	6252	0.761676880917	Britney Spears	0.0680872963318	Wanessa	0.0481532794363	Christina Aguilera	0.0388200451649	t.A.T.u.	0.0352702397319	Katy Perry	0.027788401276	Claudia Leitte	0.0262339151547	Pitty	0.0247810372292	Lady Gaga	0.0232692506166	Rihanna	0.0230555733583	Beyoncé	0.0175446379588	27	BR	25	BR	0	BR	24	BR	23	BR	20	BR	20	BR	18	BR	24	BR	19	BR
18	3244	0.992175087952	165	0.990947443998	6571	0.972822732971	9801	0.96676992	5773	0.956473758421	2425	0.936481770833	9288	0.926024279211	565	0.902980019029	175	0.893506858711	3429	0.874159624413	浜崎あゆみ	0.130969518508	倖田來未	0.0719301855317	安室奈美恵	0.0561957890446	Boa	0.0498211354172	宇多田ヒカル	0.043282894072	Britney Spears	0.0304835485256	Perfume	0.0149292358555	Madonna	0.0145031607738	YUI	0.013421823448	Lady Gaga	0.0125772183151	24	FR	0	SG	23	FI	19	PL	41	MY	0	FR	22	US	22	CZ	0	CX	23	US
19	4079	0.998058646268	1179	0.996540318865	3295	0.992829208483	297	0.980113372093	3296	0.969932652113	3033	0.968354819633	662	0.965744024672	10400	0.942545168067	10231	0.933415300546	5906	0.924976945245	Nightwish	0.0971882115713	Within Temptation	0.0571343550249	Evanescence	0.033574963869	Epica	0.032594056861	Korn	0.0318762677508	Disturbed	0.0273429003427	Marilyn Manson	0.0271189653755	Rammstein	0.0257724319234	Lacuna Coil	0.0214201980862	Kamelot	0.0135067853449	22	HR	24	PL	0	PL	25	DE	23	PL	60	DE	23	US	19	AR	17	PL	20	FI
20	2127	0.912300947867	1301	0.897048667025	1077	0.867349428208	10822	0.846840989399	14636	0.833522111759	1501	0.823373134328	8196	0.817644171779	261	0.799108976689	3050	0.796541858659	5137	0.785935932714	Beyoncé	0.157111136497	Lady Gaga	0.0746614380389	Britney Spears	0.0603242817128	Shakira	0.0490459456058	Rihanna	0.0451219202762	Christina Aguilera	0.0410777082606	Black Eyed Peas	0.0303855589241	Alicia Keys	0.024685776554	Madonna	0.0180600313374	Destiny's Child	0.0173278238082	23	HR	23	MX	21	PL	0	CZ	17	BR	24	ES	26	PL	27	IL	24	ES	23	CL
21	178	0.970873902081	1586	0.905338485317	516	0.89599810769	13676	0.893276610979	187	0.855207109448	3424	0.830005886681	3025	0.827405141101	387	0.804012408505	3297	0.800730449978	8063	0.777978152929	Britney Spears	0.0680128848194	Girls Aloud	0.0520589261962	The Saturdays	0.0371649141128	Cheryl Cole	0.0310473267342	Lady Gaga	0.0299918138014	Kylie Minogue	0.0285587515026	Kelly Clarkson	0.0234431529712	Rihanna	0.0213779674568	Christina Aguilera	0.0191038118059	The Veronicas	0.0189392812243	36	UK	22	CL	25	BR	26	FI	28	AU	22	BR	23	BR	24	US	20	PL	27	BR
22	7301	0.99685603212	4349	0.983609742441	5049	0.959093271462	3553	0.94753081761	5072	0.935779348494	9833	0.924472312704	5138	0.896557240705	2159	0.885249423394	14878	0.862266666667	2450	0.849364888124	Daft Punk	0.0702236431092	deadmau5	0.0257259951879	Skrillex	0.0249328602672	David Guetta	0.0235815648648	The Prodigy	0.0208369655608	Pendulum	0.0168564546952	Tiësto	0.0167485006272	Nero	0.0152135302383	Armin van Buuren	0.0149302727742	The Glitch Mob	0.0145460190423	24	US	22	PL	0	US	0	RO	0	US	21	US	29	PL	20	CZ	0	FI	0	FI
23	5721	0.974216522738	4057	0.94862780327	2782	0.936207810993	1875	0.913935558113	2545	0.888504504505	5260	0.868723300971	5319	0.831767151767	8946	0.780621743037	13673	0.777880208333	1012	0.755903073286	O.S.T.R.	0.0700760911526	Pezet	0.0261341763511	The Corrs	0.0219882402768	Tori Amos	0.0187976089101	donGURALesko	0.0185306782808	Eldo	0.017932776001	Enya	0.0177531396976	Eminem	0.0172830731632	Jewel	0.0166076400512	Christina Aguilera	0.0155129490522	0	BR	20	BR	21	PL	25	PL	23	PL	19	PL	20	PL	19	PL	28	RU	20	PL
24	8076	0.985398752127	10130	0.977734789392	14792	0.97392773041	8294	0.949434623813	3421	0.949025255973	10532	0.944070161608	7609	0.923387488987	13233	0.910340495868	2552	0.907869604317	14509	0.903256095988	Lana Del Rey	0.135722576083	Florence + the Machine	0.0675376159367	Marina & the Diamonds	0.0430792487431	Ellie Goulding	0.0240890560734	Crystal Castles	0.0205095714417	The xx	0.0159397467368	Lady Gaga	0.0143129505614	Foster the People	0.0141395947884	Lykke Li	0.0133678593887	Sky Ferreira	0.0132967708861	16	UK	18	BR	13	UK	21	VE	25	BR	17	BO	23	PE	0	BR	21	UK	23	BR
25	531	0.997357703796	5486	0.885951768489	6171	0.875415699747	5839	0.874326813491	271	0.867483870968	1078	0.861904345861	9505	0.8345351418	10920	0.817640690979	12971	0.813497206704	9520	0.78894205393	Britney Spears	0.0546816038478	Leona Lewis	0.0342608748254	Kelly Clarkson	0.0315128374989	Lady Gaga	0.0310529088534	Rihanna	0.0307951921419	Maroon 5	0.0303700868331	Taylor Swift	0.0273149634926	Adele	0.0270137470888	Katy Perry	0.0264957457941	Enrique Iglesias	0.0213683234127	22	HK	18	NL	20	VN	28	BR	27	FI	25	ES	20	MY	22	VN	20	CN	0	BR
26	6047	0.991628184352	11798	0.990543755697	8780	0.989655689871	12185	0.986918824046	10433	0.983766166282	8213	0.982551661356	10207	0.979463141698	5716	0.978093304061	11738	0.977483794466	13892	0.977301610542	Arctic Monkeys	0.143907446708	The Strokes	0.102484383343	The Beatles	0.0323148879209	The Killers	0.0278270603988	The Kooks	0.0275637569068	Oasis	0.023839696091	Muse	0.0187981087342	Franz Ferdinand	0.0164014949536	Two Door Cinema Club	0.0158271943988	The Black Keys	0.015666923744	22	AR	26	DE	23	DE	15	MX	0	MX	19	PT	24	FR	22	MX	16	RU	19	US
