:q	to_Z_0	to_Z_1	to_Z_2	to_Z_3	to_Z_4	to_Z_5	to_Z_6	to_Z_7	to_Z_8	to_Z_9	to_Z_10	to_Z_11	to_Z_12	to_Z_13	to_Z_14	to_Z_15	to_Z_16	to_Z_17	to_Z_18	to_Z_19	to_Z_20	to_Z_21	to_Z_22	to_Z_23	to_Z_24	to_Z_25	to_Z_26	to_Z_27	to_Z_28	to_Z_29	to_Z_30	to_Z_31	to_Z_32	to_Z_33	to_Z_34	to_Z_35	to_Z_36	to_Z_37	to_Z_38	to_Z_39
from_Z_0	0.0163760560774	0.0511240354745	0.018799908392	0.0693502966361	0.0313728968624	0.0298670303039	0.0188190720503	0.0243741449569	0.0149073412449	0.0160605415274	0.0180644029039	0.0155392410042	0.0274768274844	0.0155575246151	0.075661313715	0.0160837100999	0.0183050994841	0.0163191091014	0.0140816229309	0.0221723778517	0.0270484618051	0.0160025802973	0.0171863637194	0.0203095984477	0.017389333877	0.0186531281951	0.0247226460498	0.0379601575756	0.0179334791485	0.0269548442387	0.0150257658812	0.0289110825308	0.0209078972898	0.0177289521664	0.0237906100349	0.0242404043141	0.0180426315912	0.0476687138545	0.0202296705084	0.0289811257581
from_Z_1	0.0137488345135	0.0248601603335	0.00720631637396	0.0552308249451	0.0183288065538	0.0164939403213	0.011380633513	0.0193449187168	0.018410775673	0.0280118108002	0.0413892389694	0.0190930079244	0.0410884624931	0.0116145143436	0.0416477327695	0.0221815658112	0.0183351197082	0.0200112792993	0.0108970095721	0.0180887175451	0.0403642964756	0.0357159221779	0.0238135183606	0.0112736391784	0.0274182955637	0.0107813747335	0.0333880727965	0.0144676361314	0.00836321256524	0.0260001076665	0.00940660055705	0.037141317846	0.0288430438104	0.0265979983888	0.0223888862641	0.0666177028278	0.00994027459896	0.060409729185	0.0331614536291	0.0165432470632
from_Z_2	0.0183012237236	0.0363997779203	0.0161844477765	0.0502312583643	0.0258962675916	0.0312904110495	0.0195531863933	0.0195266067675	0.0152560829633	0.0163121107524	0.0227502425267	0.0173737174124	0.0239680548313	0.0195114436439	0.0638861602569	0.0163165605296	0.0426790807738	0.014867546669	0.0243314800884	0.0155837886187	0.0425319486424	0.0172295903495	0.0250566259344	0.0193177423568	0.0413772369051	0.0175116994878	0.0249157786648	0.0169918370668	0.016883221555	0.0339687036531	0.0158460199577	0.0259591377553	0.014930670436	0.0170808985187	0.0274880915018	0.0220463378237	0.0238873972767	0.0339217217146	0.0191889862944	0.0336469054524
from_Z_3	0.0157314483594	0.0632190571482	0.0123675999209	0.0336872478895	0.0148973585074	0.0334024144989	0.0198773417474	0.0181542984916	0.00756588660309	0.0171166250936	0.0222185606865	0.0128346737464	0.029846759014	0.0176072589162	0.0314585893424	0.0179535948499	0.0200898156103	0.0154725234896	0.0120005570695	0.0207828954409	0.0283203236316	0.0282231700626	0.02059299895	0.0158072204686	0.0146070273972	0.0151181559838	0.0266137255893	0.0298660582246	0.0127972043766	0.0325928614025	0.0182684803413	0.0318657422493	0.0506846797668	0.0201033827087	0.0248431871549	0.0559049809817	0.0129062508664	0.0441977473771	0.0586535434412	0.0217487526002
from_Z_4	0.0158155852288	0.0608698115251	0.023207347236	0.0248643723212	0.0308347168518	0.0240645787776	0.0151252015945	0.0157378108987	0.0187493003617	0.0146637482672	0.0176206345056	0.0282356196749	0.0195410939271	0.0135297017544	0.0200648993904	0.0147459084015	0.0152581781435	0.0148375974165	0.0135015749196	0.0349534139861	0.0185087514257	0.0163338754221	0.0556072215095	0.0361447618047	0.0178589979151	0.0215103547045	0.0169620259941	0.0163165283918	0.0150754820101	0.108331648127	0.0149712765796	0.0516474998944	0.0247205286039	0.0128048930814	0.0280173936276	0.0184936771389	0.0122135915093	0.0290078225349	0.0240048338146	0.0252477407285
from_Z_5	0.00986609759398	0.0529041632426	0.0148716635917	0.045856889888	0.0338725873887	0.0693100670364	0.00889614534774	0.0201249875901	0.00978203089584	0.0130122818277	0.0181887455645	0.00954064190874	0.0185294147286	0.0175825972904	0.0219918002619	0.0173525085671	0.0134064050459	0.0229031660636	0.0291071870667	0.00665795461271	0.0452224232907	0.0402074238474	0.0455125105748	0.0261265830702	0.0159797901125	0.01359937144	0.0171791215211	0.0193509682239	0.00846829823782	0.0533898931754	0.0193665954822	0.0315496031043	0.0229816438104	0.0349456002592	0.0181842527635	0.0260430931448	0.0191850565918	0.0395672325577	0.0196682188329	0.0297149844465
from_Z_6	0.0194666693037	0.0287677230781	0.0205943999257	0.0283790242795	0.0234576265516	0.021769438566	0.0241942477731	0.0196481941537	0.0505024829964	0.019442848442	0.0203023236488	0.0192530424836	0.0272639735608	0.0289270734064	0.0362802251032	0.019144602372	0.0203699203946	0.0191809141633	0.0220119616203	0.0194888759817	0.0246090950032	0.0197652900671	0.0257887441537	0.0214588358758	0.019533712252	0.0199864156148	0.0210875357582	0.0471041561844	0.0208001430373	0.0232060081695	0.0199277380358	0.0264392008517	0.0185891394442	0.0274665203988	0.0267724811259	0.0235524919312	0.0195747352001	0.0624402865835	0.0198103457453	0.023641556763
from_Z_7	0.0171692067403	0.0413321152878	0.0134625206858	0.0325483539702	0.0287605296149	0.0365938787497	0.0106440980065	0.0205619815421	0.0078551495808	0.0181342121255	0.0173426736773	0.0180894622936	0.030275291256	0.0133052838705	0.0275259433822	0.0270142453705	0.0186720779261	0.0255213693069	0.0162515094669	0.0106058732943	0.0357859744953	0.0344343112139	0.0147993846179	0.00944142347965	0.0265297209519	0.0228939158895	0.0340603662646	0.0295631979275	0.0184847813702	0.0528976051438	0.0131889878768	0.035472117214	0.0353041524182	0.0171229310209	0.0263008191903	0.0549470125753	0.0127883384022	0.0350341007922	0.0436063512682	0.0156787317397
from_Z_8	0.0170837164939	0.0268328097972	0.0209187549203	0.0420282574997	0.0231147440996	0.0217674467254	0.0161476087136	0.0220312426215	0.015737878398	0.0167287083371	0.0176886861519	0.0173335878931	0.0195804629123	0.0190027693582	0.119746980566	0.0170289572183	0.0175195126332	0.0171360551979	0.0258014904809	0.0188657946036	0.0302831249276	0.0171981547789	0.026690721694	0.0168295827688	0.0173211562132	0.0166996950851	0.024323187157	0.0203214718751	0.0192497225072	0.0202696084778	0.0164809276632	0.0684404432891	0.016653970935	0.01980856776	0.022219838758	0.0232229476412	0.0187221505013	0.0558058763471	0.0188751498826	0.0184882371161
from_Z_9	0.0195994355343	0.03105929312	0.0216089864453	0.051397941234	0.0233724989883	0.0237048894784	0.0185086269879	0.0209325661339	0.0181894325613	0.0202465727275	0.0327621906386	0.0200870738913	0.0219441038477	0.0210015570951	0.0844021960458	0.0197888810532	0.0202843428898	0.0202424733225	0.0241165813314	0.01957889672	0.0227256365676	0.0198930786806	0.0222936922478	0.0195599837241	0.0235823339685	0.0181717316783	0.0282051747061	0.0248496464711	0.0232984643581	0.0218212814823	0.0193755611139	0.0296208601554	0.0190299995164	0.021082749212	0.0210089396062	0.0277212148979	0.0204162285672	0.0428691131927	0.0219730782755	0.0196726915321
