    age country
418	27	RU
419	26	FR
420	28	US
421	23	BR
422	25	BR
423	46	NL
424	25	SE
425	30	IT
426	23	BR
427	28	US
428	28	US
429	24	BE
430	25	US
431	34	DE
432	24	MX
433	25	PL
434	33	PL
435	28	CN
436	44	UK
437	25	SE
438	23	UA
439	22	PL
440	36	US
441	28	CZ
442	27	PL
443	32	CA
444	0	US
445	27	FI
446	0	US
447	21	FR
448	29	US
449	33	BR
450	23	PL
451	48	US
452	0	PL
453	0	TW
454	0	BR
455	31	BG
456	27	HR
457	26	US
458	0	IE
459	28	TR
460	0	MX
461	23	CZ
462	38	FR
463	21	US
464	23	RU
465	25	PL
466	19	US
467	24	UK
468	0	SE
469	31	CZ
470	23	ES
471	23	BR
472	24	PL
473	23	UK
474	27	RS
475	24	BR
476	24	US
477	21	BR
478	23	UA
479	24	DE
480	32	CA
481	29	ES
482	31	NL
483	26	US
484	26	US
485	30	FI
486	24	ES
487	22	UK
488	19	BG
489	32	BR
490	26	BR
491	24	PL
492	21	BR
493	27	US
494	0	US
495	0	UA
496	20	SE
497	24	ES
498	26	PL
499	28	DE
500	22	UK
501	39	UK
502	23	SE
503	32	JP
504	26	US
505	32	IT
506	29	SE
507	24	NL
508	22	AR
509	22	CA
510	26	US
511	22	BR
512	27	US
513	34	UK
514	27	BR
515	0	US
516	25	BR
517	20	DE
518	29	UA
519	0	TH
520	113	FR
521	22	US
522	30	ES
523	0	PL
524	22	BR
525	28	SG
526	0	PT
527	22	AU
528	21	FI
529	20	CH
530	22	UK
531	22	HK
532	27	NL
533	26	CA
534	24	BR
535	25	ES
536	20	ES
537	24	US
538	31	CA
539	0	US
540	32	DE
541	30	HU
542	28	UK
543	27	TR
544	25	HU
545	25	BR
546	28	FI
547	24	IE
548	0	RU
549	22	BR
550	29	US
551	21	AU
552	26	FI
553	23	US
554	24	UK
555	22	BR
556	23	RS
557	23	DE
558	28	US
559	30	FI
560	38	DE
561	27	UK
562	26	PL
563	0	US
564	20	US
565	22	CZ
566	0	PL
567	47	US
568	0	US
569	29	DE
570	25	IT
571	20	SE
572	28	FI
573	26	PT
574	27	BR
575	24	US
576	29	DE
577	23	SE
578	0	US
579	24	RU
580	24	ES
581	31	US
582	22	BR
583	28	NL
584	0	PL
585	0	US
586	25	DE
587	24	BR
588	26	BR
589	31	BR
590	0	PL
591	23	IT
592	34	US
593	26	CN
594	26	NL
595	43	CH
596	25	NL
597	23	PL
598	28	PL
599	28	US
600	32	US
601	24	PL
602	27	PL
603	26	US
604	21	UK
605	22	CZ
606	25	UK
607	19	MY
608	25	FI
609	23	PL
610	22	US
611	39	BE
612	23	NL
613	26	AU
614	23	NL
615	25	US
616	27	AR
617	29	UK
618	23	FI
619	26	SI
620	32	BR
621	21	UK
622	24	BR
623	0	US
624	0	BR
625	26	BR
626	46	US
627	39	UK
628	26	BR
629	26	NL
630	21	BR
631	0	HK
632	0	UK
633	29	US
634	22	SE
635	23	BR
636	24	PL
637	27	NL
638	19	IL
639	33	DE
640	29	US
641	26	RU
642	26	BR
643	20	CA
644	22	BE
645	19	US
646	55	DE
647	22	PL
648	23	PL
649	22	MX
650	32	ES
651	22	NO
652	22	DE
653	30	FR
654	27	US
655	30	US
656	29	FR
657	19	DE
658	27	PL
659	24	BR
660	25	DE
661	24	FR
662	23	US
663	21	US
664	24	JP
665	0	NL
666	23	UK
667	22	BR
668	27	BR
669	0	US
670	23	BE
671	0	DE
672	30	CZ
673	26	SK
674	0	BR
675	47	DE
676	0	BR
677	29	US
678	24	HU
679	23	FI
680	22	BR
681	21	FI
682	20	US
683	22	ES
684	20	US
685	24	BR
686	0	UK
687	0	BG
688	0	UK
689	22	IT
690	29	BR
691	21	UK
692	24	BR
693	33	UK
694	29	FR
695	25	IT
696	23	BG
697	0	DE
698	0	RU
699	0	JP
700	22	ES
701	23	BR
702	45	IT
703	33	ID
704	23	US
705	21	PL
706	21	ES
707	24	DE
708	19	US
709	23	BR
710	0	PL
711	28	BE
712	34	BE
713	32	US
714	30	IN
715	23	PL
716	22	FI
717	23	BR
718	33	BR
719	22	US
720	25	DE
721	35	CO
722	20	US
723	28	RU
724	34	DE
725	25	IT
726	23	UK
727	23	DE
728	26	UK
729	25	BR
730	24	BR
731	22	BG
732	30	PL
733	33	SE
734	22	UK
735	31	UK
736	21	PL
737	24	FI
738	26	UK
739	30	BR
740	0	PL
741	22	CA
742	41	FR
743	23	JP
744	22	NL
745	0	BG
746	35	PL
747	40	RE
748	26	BR
749	25	US
750	21	US
751	22	UK
752	31	BR
753	32	BR
754	29	PL
755	23	BR
756	32	PL
757	28	ES
758	21	BR
759	29	UZ
760	27	UK
761	23	PL
762	25	SO
763	44	NL
764	23	BR
765	24	BR
766	23	IT
767	0	FI
768	27	DE
769	40	UK
770	0	BR
771	23	DE
772	23	AU
773	23	DE
774	21	UK
775	29	DE
776	27	DK
777	42	DE
778	23	PL
779	20	TR
780	21	ES
781	23	PL
782	19	BR
783	22	PL
784	27	BR
785	25	GR
786	27	US
787	25	PL
788	0	CA
789	21	US
790	26	UK
791	32	HR
792	23	PL
793	0	US
794	24	FI
795	25	PL
796	30	US
797	22	FI
798	39	UK
799	25	PL
800	28	BR
